Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 9.9444e-04, -1.0530e-04
-0.0000e+00, -9.9400e-04, -1.0937e-04
-0.0000e+00, 2.7897e-02, 8.7274e-03
-0.0000e+00, 3.3517e-01, 1.2946e-01
-0.0000e+00, 9.6554e-01, 2.6027e-01
-0.0000e+00, -9.6572e-01, -2.5959e-01
-0.0000e+00, 9.5744e-01, 2.8863e-01
-0.0000e+00, 2.8250e-01, 1.4425e-01
-0.0000e+00, 2.2186e-02, 1.3480e-02
-0.0000e+00, 9.9812e-01, -6.1292e-02
-0.0000e+00, -9.6701e-01, 2.5475e-01
-0.0000e+00, -8.8346e-01, 4.6850e-01
-0.0000e+00, -8.6251e-01, 5.0604e-01
-0.0000e+00, 4.6959e-01, -1.7831e-01
-0.0000e+00, 7.4664e-02, -1.0217e-02
-0.0000e+00, 1.4660e-03, 8.2433e-06
-0.0000e+00, -9.9187e-04, -1.2725e-04
-0.0000e+00, 9.6605e-04, 2.5834e-04
-0.0000e+00, 7.6656e-03, 3.0822e-03
-0.0000e+00, 1.9072e-01, 8.3756e-02
-0.0000e+00, -9.2043e-01, -2.6926e-01
-0.0000e+00, -9.6877e-01, -2.4798e-01
-0.0000e+00, -9.6572e-01, -2.5959e-01
-0.0000e+00, 4.7012e-01, 2.1051e-01
-0.0000e+00, 6.1423e-02, 3.5989e-02
-0.0000e+00, 9.9794e-01, -6.4146e-02
-0.0000e+00, 9.7270e-01, -2.3206e-01
-0.0000e+00, 9.2796e-01, -3.7268e-01
-0.0000e+00, -9.5215e-01, 3.0562e-01
-0.0000e+00, -6.4195e-01, 8.0843e-03
-0.0000e+00, 1.3435e-01, 3.1542e-02
-0.0000e+00, 4.8066e-03, 1.5159e-03
-0.0000e+00, 9.3992e-04, 3.4139e-04
-0.0000e+00, 9.1883e-04, 3.9466e-04
-0.0000e+00, 1.7498e-03, 8.7854e-04
-0.0000e+00, 1.1731e-01, 5.8751e-02
-0.0000e+00, 7.3856e-01, 2.3780e-01
-0.0000e+00, -9.7577e-01, -2.1881e-01
-0.0000e+00, 9.7776e-01, 2.0973e-01
-0.0000e+00, 6.7146e-01, 2.3104e-01
-0.0000e+00, 1.2181e-01, 6.4221e-02
-0.0000e+00, 9.9881e-01, -4.8711e-02
-0.0000e+00, 9.8619e-01, -1.6563e-01
-0.0000e+00, 9.6854e-01, -2.4886e-01
-0.0000e+00, 9.9409e-01, -1.0859e-01
-0.0000e+00, -9.2244e-01, -2.4993e-01
-0.0000e+00, 3.4386e-01, 1.9234e-01
-0.0000e+00, 4.3695e-02, 2.7164e-02
-0.0000e+00, 1.4109e-03, 8.3792e-04
-0.0000e+00, 8.6291e-04, 5.0536e-04
-0.0000e+00, 8.5899e-04, 5.1199e-04
-0.0000e+00, 6.4904e-02, 3.6535e-02
-0.0000e+00, 5.4730e-01, 2.1468e-01
-0.0000e+00, -9.7214e-01, -2.3439e-01
-0.0000e+00, 9.7674e-01, 2.1442e-01
-0.0000e+00, 8.4940e-01, 2.5098e-01
-0.0000e+00, 2.0392e-01, 9.7200e-02
-0.0000e+00, 9.9891e-01, -4.6713e-02
-0.0000e+00, 9.9464e-01, -1.0341e-01
-0.0000e+00, 9.9020e-01, -1.3964e-01
-0.0000e+00, -9.9940e-01, -3.4586e-02
-0.0000e+00, 9.0683e-01, 4.2150e-01
-0.0000e+00, 6.4407e-01, 5.3407e-01
-0.0000e+00, 2.4689e-01, 2.2122e-01
-0.0000e+00, 3.1254e-02, 2.5012e-02
-0.0000e+00, 1.0723e-03, 7.8180e-04
-0.0000e+00, 8.2573e-04, 5.6406e-04
-0.0000e+00, 2.6880e-02, 1.6954e-02
-0.0000e+00, 3.4709e-01, 1.7050e-01
-0.0000e+00, 9.6036e-01, 2.7876e-01
-0.0000e+00, 9.7139e-01, 2.3751e-01
-0.0000e+00, -9.6361e-01, -2.6730e-01
-0.0000e+00, 3.4036e-01, 1.4434e-01
-0.0000e+00, -9.9950e-01, 3.1587e-02
-0.0000e+00, 9.9850e-01, -5.4713e-02
-0.0000e+00, 9.9815e-01, -6.0872e-02
-0.0000e+00, 7.9749e-01, 9.6404e-02
-0.0000e+00, 7.3710e-01, 4.2390e-01
-0.0000e+00, -7.1680e-01, -6.9728e-01
-0.0000e+00, -6.0827e-01, -6.1585e-01
-0.0000e+00, 2.5069e-01, 2.3057e-01
-0.0000e+00, 3.1201e-02, 2.6414e-02
-0.0000e+00, 1.1528e-03, 8.9266e-04
-0.0000e+00, 7.7337e-03, 5.3433e-03
-0.0000e+00, 1.9926e-01, 1.0958e-01
-0.0000e+00, -9.5270e-01, -2.9219e-01
-0.0000e+00, -9.7488e-01, -2.2271e-01
-0.0000e+00, -9.7191e-01, -2.3536e-01
-0.0000e+00, -5.4789e-01, -1.9603e-01
-0.0000e+00, -9.9972e-01, 2.3590e-02
-0.0000e+00, -9.9959e-01, 2.8589e-02
-0.0000e+00, -9.9994e-01, 1.0592e-02
-0.0000e+00, -5.1772e-01, -8.2802e-02
-0.0000e+00, 3.0708e-01, 1.8383e-01
-0.0000e+00, 5.2962e-01, 5.3217e-01
-0.0000e+00, -6.8398e-01, -7.2950e-01
-0.0000e+00, -6.4869e-01, -6.5941e-01
-0.0000e+00, 2.6735e-01, 2.5578e-01
-0.0000e+00, 3.6733e-02, 3.2081e-02
-0.0000e+00, 3.9626e-03, 2.9782e-03
-0.0000e+00, 1.2981e-01, 7.4565e-02
-0.0000e+00, -7.7965e-01, -2.4853e-01
-0.0000e+00, 9.7803e-01, 2.0846e-01
-0.0000e+00, -9.7664e-01, -2.1490e-01
-0.0000e+00, -7.4858e-01, -2.1412e-01
-0.0000e+00, 9.9988e-01, -1.5629e-02
