Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 9.9881e-01, -4.8711e-02
-0.0000e+00, 9.8619e-01, -1.6563e-01
-0.0000e+00, 9.6854e-01, -2.4886e-01
-0.0000e+00, 9.9409e-01, -1.0859e-01
-0.0000e+00, -9.6520e-01, -2.6152e-01
-0.0000e+00, 8.7274e-01, 4.8818e-01
-0.0000e+00, 8.4927e-01, 5.2796e-01
-0.0000e+00, 8.5981e-01, 5.1062e-01
-0.0000e+00, 8.6291e-01, 5.0536e-01
-0.0000e+00, 8.5899e-01, 5.1199e-01
-0.0000e+00, 8.7142e-01, 4.9053e-01
-0.0000e+00, 9.3095e-01, 3.6516e-01
-0.0000e+00, -9.7214e-01, -2.3439e-01
-0.0000e+00, 9.7674e-01, 2.1442e-01
-0.0000e+00, 9.5901e-01, 2.8336e-01
-0.0000e+00, 9.0270e-01, 4.3028e-01
-0.0000e+00, 9.9891e-01, -4.6713e-02
-0.0000e+00, 9.9464e-01, -1.0341e-01
-0.0000e+00, 9.9020e-01, -1.3964e-01
-0.0000e+00, -9.9940e-01, -3.4586e-02
-0.0000e+00, 9.0683e-01, 4.2150e-01
-0.0000e+00, 7.6978e-01, 6.3831e-01
-0.0000e+00, 7.4477e-01, 6.6732e-01
-0.0000e+00, 7.8077e-01, 6.2482e-01
-0.0000e+00, 8.0803e-01, 5.8914e-01
-0.0000e+00, 8.2573e-01, 5.6406e-01
-0.0000e+00, 8.4582e-01, 5.3347e-01
-0.0000e+00, 8.9756e-01, 4.4090e-01
-0.0000e+00, 9.6036e-01, 2.7876e-01
-0.0000e+00, 9.7139e-01, 2.3751e-01
-0.0000e+00, -9.6361e-01, -2.6730e-01
-0.0000e+00, 9.2063e-01, 3.9043e-01
-0.0000e+00, -9.9950e-01, 3.1587e-02
-0.0000e+00, 9.9850e-01, -5.4713e-02
